N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
148,유나이티드제약,"87,800","4,100",-4.46%,500,"14,263","16,245",12.46,"4,558,227",45.75,12.79,
149,한화생명,"1,620",35,+2.21%,"5,000","14,070","868,530",7.66,"9,928,735",8.35,0.51,
150,한화시스템,"12,700",50,-0.39%,"5,000","13,999","110,230",1.78,"1,630,111",17.99,8.15,
151,SK디스커버리,"73,100","2,200",-2.92%,"5,000","13,917","19,038",9.83,"346,860",5.69,11.52,
152,아이에스동서,"44,700",100,-0.22%,500,"13,809","30,893",5.32,"74,687",23.64,6.10,
153,영원무역,"30,850","1,300",-4.04%,500,"13,670","44,311",22.96,"177,036",9.71,9.82,
154,녹십자홀딩스,"29,050","2,350",+8.80%,500,"13,662","47,028",7.15,"1,123,481",41.26,0.37,
155,대웅제약,"117,500","1,500",-1.26%,"2,500","13,614","11,587",4.99,"99,653",-549.07,4.34,
156,KODEX 종합채권(AA-이상)액티브,"110,175",75,+0.07%,0,"13,408","12,170",0.00,"3,619",N/A,N/A,
157,현대백화점,"56,400",100,+0.18%,"5,000","13,199","23,402",18.49,"151,642",10.43,4.64,
158,KODEX 삼성그룹,"7,735",150,+1.98%,0,"13,196","170,600",0.03,"353,983",N/A,N/A,
159,두산솔루스,"43,100","1,150",-2.60%,100,"13,184","30,590",8.03,"1,393,616",95.57,N/A,
160,KCC,"147,500","3,500",-2.32%,"5,000","13,108","8,886",13.66,"77,298",-622.36,-4.37,
161,지누스,"88,500",800,+0.91%,500,"12,750","14,407",18.86,"127,425",16.11,26.32,
162,한전KPS,"28,250",50,-0.18%,200,"12,712","45,000",14.44,"142,787",8.00,14.98,
163,파미셀,"21,150",350,-1.63%,500,"12,681","59,959",6.87,"1,733,486",207.35,8.78,
164,SK네트웍스,"5,070",50,+1.00%,"2,500","12,583","248,188",12.19,"506,253",-42.97,-5.85,
165,메리츠금융지주,"9,380",0,0.00%,500,"12,570","134,011",7.88,"53,119",3.11,15.26,
166,대우건설,"2,960",45,-1.50%,"5,000","12,302","415,623",11.02,"3,379,788",6.70,8.80,
167,현대미포조선,"30,700",100,+0.33%,"5,000","12,262","39,942",13.21,"192,017",20.52,2.31,
168,KG동부제철,"12,200",100,+0.83%,"5,000","12,201","100,009",0.14,"44,146",12.72,-7.44,
169,TIGER 단기통안채,"100,655",5,0.00%,0,"12,191","12,112",6.01,"1,772",N/A,N/A,
170,KODEX 200TR,"10,160",140,+1.40%,0,"11,704","115,200",20.09,"343,713",N/A,N/A,
171,진원생명과학,"25,050","2,100",-7.73%,"1,000","11,180","44,631",7.88,"5,635,449",-85.49,-28.50,
172,KODEX 인버스,"5,385",70,-1.28%,0,"11,179","207,600",1.47,"29,975,713",N/A,N/A,
173,현대위아,"41,000",0,0.00%,"5,000","11,150","27,195",10.80,"188,988",17.69,1.80,
174,롯데관광개발,"16,050",100,-0.62%,500,"11,119","69,276",6.44,"373,112",-24.36,-4.77,
175,후성,"12,000",150,+1.27%,500,"11,113","92,607",4.18,"11,184,539",-800.00,3.85,
176,금호타이어,"3,740",70,+1.91%,"5,000","10,744","287,260",4.51,"577,327",-7.68,-3.30,
177,신세계인터내셔날,"150,000","9,000",+6.38%,"5,000","10,710","7,140",4.88,"116,835",17.29,12.98,
178,한국콜마,"45,850",0,0.00%,500,"10,491","22,881",25.38,"147,744",47.66,6.39,
179,드림텍,"16,750",600,-3.46%,100,"10,401","62,095",21.54,"4,287,469",82.51,13.24,
